"time","billboard","tree","lake","house","sign","type","tree_PC1","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","Type","Slope"
48,1,2.21884999227278,0,0,0,"flat0",2.25602807903287,1.51320276141221,2.43668148437274,2.22483686816901,-2.07606795978199,1.35017448886428,2.50412646540938,1.75927856488393,1.86317857163407,-0.434845446498003,"flatagr",NA
48.5,1,2.21884999227278,0,0,0,"flat0",1.90526384449493,1.57703159257767,2.60533942054696,1.94477335362911,-1.77161040112362,1.89450421000217,2.32861779034626,1.79756114527532,1.81430316718196,-1.10961828898252,"flatagr",NA
49,1,2.21884999227278,0,0,0,"flat0",1.75070242852567,0.617693786852012,-0.737986569816488,1.12892197024979,-1.12248507115731,1.51083088652856,1.12324393685752,1.24962646325059,0.932605075406342,-1.46924552576589,"flatagr",NA
49.5,1,2.21884999227278,0,0,0,"flat0",1.84175387232075,1.34188114847115,2.61442876381016,0.805502593821726,-1.29914791258733,2.18414864996242,0.655875575084609,1.28736353734801,1.14457895575803,-1.63153607798724,"flatagr",NA
50,1,2.21884999227278,0,0,0,"flat0",1.7401137691961,1.46429913063177,2.56403788193436,0.861850414267273,-1.38965651391942,2.6287596233408,0.688406587660535,1.43001949440399,1.44364934338523,-1.70108917094142,"flatagr",NA
50.5,1,2.21884999227278,0,0,0,"flat0",1.690308690534,2.66005755515076,2.61126415289476,1.24209798689838,-1.66378630156529,2.07557749596026,1.08028015864755,1.75568814651619,1.96638808453356,-1.70944632622869,"flatagr",NA
51,1,2.21884999227278,0,0,0,"flat0",1.98581441725968,1.91681696352123,-0.740700010286012,0.870218360110823,-1.45293960407691,2.61870038359201,0.742264561024644,1.40681391412432,1.63881242865725,-1.76686806579543,"flatagr",NA
51.5,1,2.21884999227278,0,0,0,"flat0",1.777991518559,1.81138819655832,-0.717155317831426,0.844331017777341,-1.28797678829342,1.38891427995911,0.824898666173286,1.1419385860527,1.66229996458052,-1.76309386769526,"flatagr",NA
52,1,2.21884999227278,0,0,0,"flat0",1.99220052910948,1.20183878755588,-0.717350585477139,0.772931728249436,-1.01128089777048,1.39963441066264,0.777674957057776,0.999017170722482,1.20245565538445,-1.78493030419164,"flatagr",NA
52.5,1,2.21884999227278,0,0,0,"flat0",1.98148021095752,1.60132465518542,-0.73351127010895,0.757562445880543,-1.13176852443204,1.52423606558546,0.731618204895592,0.931356582197617,1.50589409054637,-1.81539348034268,"flatagr",NA
53,1,2.21884999227278,0,0,0,"flat0",1.8166044512191,1.53162098029273,-0.646197999616742,0.603208648546602,-1.12530262959145,1.24105272429703,0.686132068727212,0.979869846165127,1.83551203480614,-1.8021837844984,"flatagr",NA
53.5,0,2.22193272740769,0,0,0,"flat0",1.68905742740322,1.46382279607084,-0.62377136727418,0.739956162552687,-1.08681892682411,1.07743059245157,0.893784763403651,1.03779220866403,1.74507450870754,-1.77145102198506,"flatagr",NA
54,0,2.21884999227278,0,0,0,"flat0",1.76757843668707,1.08053215108607,-0.645118242392333,0.986551244893766,-1.18199401049569,1.19745149801866,1.10637225472808,1.18687693325708,1.3907689905198,-1.76902475170656,"flatagr",NA
54.5,0,2.21884999227278,0,0,0,"flat0",1.88806962619393,0.737888925203953,-0.688815033416793,1.06553089312147,-0.955285817013058,1.24687006144515,0.97686614355602,1.04392762576631,0.552173824257707,-1.70648088422304,"flatagr",NA
55,0,2.21884999227278,0,0,0,"flat0",1.90590026477415,1.21454099170517,2.68107146321432,1.41379192330488,-1.25005401984759,2.07697182992765,1.32395524899143,1.28423934717174,1.16931729377155,-1.31773839911031,"flatagr",NA
55.5,0,2.21884999227278,0,0,0,"flat0",1.83829746825143,1.34013448679634,-0.740418533886754,1.79730792774512,-1.43645824089544,2.42082531641032,1.81198071967146,1.53240517915748,1.21238513990611,-0.878044229171822,"flatagr",NA
56,0,2.21884999227278,0,0,0,"flat0",1.67857887438358,1.27741715374875,2.63094005418324,2.03218023303928,-1.52391394218414,3.07922556184248,2.17595361763997,1.65245781204675,1.10332052235596,-0.381197905031442,"flatagr",NA
