"time","billboard","tree","lake","house","sign","type","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","scene_type","sky","slope"
22,0,-0.782581124290537,0,0,0,"flat0",-0.841721357643942,-0.779086956369988,-0.198537505393617,0.982060301441124,-0.687444453183685,-0.0545109122249793,-1.07539285369507,-1.41668875203877,-0.624297115926784,"F",0.752603948804359,0.205089427059725
22.5,0,-0.782581124290537,0,0,0,"flat0",-0.904949826965197,-0.775519638497972,-0.183866505928092,0.970894998385661,-0.709721656276678,-0.0552875961222586,-1.06848044722151,-1.47299951407601,-0.625167955010251,"F",0.736347760332787,0.205089427059725
23,0,-0.782581124290537,0,0,0,"flat0",-0.685020067065732,-0.765980258092022,-0.135087872504817,0.938432763234698,-0.736753031010774,0.0144287808761786,-1.00470676956736,-1.44105177881502,-0.603977541966705,"F",0.744184371131535,0.205089427059725
23.5,0,-0.777380547956745,0,0,0,"flat0",-0.988938276658414,-0.766214704541535,-0.134961136073162,0.946254729327498,-0.727391821053385,-0.0206304017934533,-1.01784614063731,-1.57470504656094,-0.600494186706873,"F",0.744834237078927,0.205089427059725
24,0,-0.77478025978985,0,0,0,"flat0",-0.780284327898273,-0.762428015328466,-0.0924530958171402,0.934372474777199,-0.742216263505949,0.0704821961163213,-0.982725295576578,-1.53456524835671,-0.583657968006628,"F",0.742855967128846,0.205089427059725
24.5,0,-0.772179971622953,0,0,0,"flat0",-0.719268855003261,-0.756405914243537,-0.0450042579642875,0.962375052501088,-0.741971677897399,0.115619349587134,-1.05593905000212,-1.45746985655547,-0.597591390119995,"F",0.724019439653476,0.205089427059725
25,0,-0.769579683456058,0,0,0,"flat0",-0.653616661413209,-0.769142879143726,-0.0588454050283032,0.94908811791987,-0.695590406414078,0.107689282724144,-1.04505039957729,-1.2662801641147,-0.584528807090095,"F",0.695415820787575,0.205089427059725
25.5,0,-0.756578242621578,0,0,0,"flat0",-0.740555806729934,-0.782554112892672,-0.0144474632132502,0.909264552378512,-0.666117103238063,0.197775595556806,-0.972367728826212,-1.36792131647259,-0.581335731166738,"F",0.683718248805261,0.205089427059725
26,0,-0.751377666287786,0,0,0,"flat0",-0.499233781765294,-0.77245168841209,0.0483783995883936,0.9193942034078,-0.686885676529841,0.196897437733545,-0.998137521858997,-1.31512604130307,-0.550856369689604,"F",0.68520911552711,0.205089427059725
26.5,0,-0.740976513620202,0,0,0,"flat0",-0.427364054581617,-0.760528966143522,0.109447853251429,0.909319076674715,-0.745434396526015,0.228266718215697,-0.983528318221478,-1.30299622716314,-0.544179938506415,"F",0.687732117850478,0.205089427059725
27,0,-0.740976513620202,0,0,0,"flat0",-0.638547142114609,-0.757359854867187,0.120265917253308,0.899686611546388,-0.778414296971883,0.237147420080698,-0.976054861274563,-1.38723033913452,-0.536342388903281,"F",0.685027535557556,0.205089427059725
27.5,0,-0.740976513620202,0,0,0,"flat0",-0.7312822641743,-0.762488468361269,0.156496164529227,0.883497298798012,-0.761919189709123,0.362315419644168,-0.939396515111751,-1.47394368420309,-0.516603374690193,"F",0.709626840235748,0.205089427059725
28,0,-0.740976513620202,0,0,0,"flat0",-0.574370245753535,-0.756996579525197,-0.101445760692908,0.922612203289572,-0.776882629861955,0.130381396766661,-1.03068102762568,-1.2416109651513,-0.462901643740135,"F",0.7280906529145,0.205089427059725
28.5,0,-0.740976513620202,0,0,0,"flat0",-0.681542501253062,-0.767973943272192,-0.198962540920631,0.957067327266894,-0.741795658141121,0.0185892705988035,-1.09042339247086,-1.33028640493117,-0.447516822796312,"F",0.724850885570423,0.205089427059725
29,0,-0.740976513620202,0,0,0,"flat0",-0.261600151621428,-0.766131690705845,-0.226233952578415,0.947840973544763,-0.756273536420695,-0.0341071321629812,-1.07623323754378,-1.19969662449478,-0.435034799513401,"F",0.874941043855044,0.205089427059725
29.5,0,-0.740976513620202,0,0,0,"flat0",-0.968915894318166,-0.732122565523805,-0.375986558555308,1.09941242815607,-0.908002560491945,-0.141741353931169,-1.27267158789049,-1.50408892545863,-0.439969552529656,"F",0.938618261417491,0.205089427059725
30,0,-0.740976513620202,0,0,0,"flat0",-1.02181708070547,-0.724374683428176,-0.366326283636065,1.14500757105151,-0.923382214057228,-0.154135539070642,-1.30617427445862,-1.72520201581522,-0.473641989930147,"F",0.930303817318773,0.205089427059725
